,close_friend_count,spent_time_friend1,spent_time_friend2,chatting_online,breakfast_routindays,lunch_routinday,dinner_routinday,sweet,saltysnack,soda,dry_fruit,fresh_juice,packed_juice,vegetables,milk,fastfoods,physical_activity_hour,physical_activity,TV_watching_routinday,TV_watching_friday,computer_work_routinday,computer_work_friday,sleep_hours_routinday,sleep_hours_friday,injury_number,fight_number,victim_number,bully_number,others_smoker,confusion_number,worthless_number,insomnia_number,back_pain_number,headache_number,worried_number,stomach_ache_number,angriness_number,anxiety_number,mental_health_overview,smoke_leisure,smoke_escaping_problems,smoke_pleasure,smoke_feeling_grown_up,smoke_anxiety_reduction,smoke_social_acceptance,smoke_confidence_boost,smoke_focus,smoke_staying_awake,smoke_feeling_loved,family_size,car_ownership,computer_ownership,birth_weight,breast_feeding_duration,table_salt,fatty_dairy,usual_dairy,grains,meat,liverandkalepache,potato,friedfoods,fruit_nut_substitute,reduce_fast_food,increase_vegetables,reduce_salt,reduce_sugar,reduce_fat,use_liquid_oil,fresh_fruit_nondaily,litigant_friend,comfort_friend_rahati,comfort_father_rahati,comfort_sister_nadaram,comfort_sister_rahati,comfort_brother_nadaram,comfort_brother_rahati,father_edu_diploma,father_edu_elementry education,father_edu_intermediate,mother_edu_diploma,mother_edu_elementry education,father_job_self-employed,complementary_feeding_homemade food,bread_type_whole grain bread,oil_type_liquid oil,oil_type_solid oil,dairy_type_non-pasteurized regular,dairy_type_pasteurized regular,depression_no,"diet_plan_no, but it should be reduced",diet_plan_weight is fine,"diet_plan_no, but it should be reduced.1",diet_plan_weight is fine.1
close_friend_count,1.132572963412633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spent_time_friend1,,1.0552279455821238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spent_time_friend2,,,1.3274417199702806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chatting_online,,,,1.2277010335120446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakfast_routindays,,,,,1.1989409473201176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lunch_routinday,,,,,,1.0296625513263682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinner_routinday,,,,,,,1.129441574959974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweet,,,,,,,,1.0552004389079543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saltysnack,,,,,,,,,0.7739770869072139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,0.9080120206322881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry_fruit,,,,,,,,,,,1.0784752528463821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh_juice,,,,,,,,,,,,1.0355479229788114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
packed_juice,,,,,,,,,,,,,0.9376503739294532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetables,,,,,,,,,,,,,,1.041328111568896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milk,,,,,,,,,,,,,,,1.026888030516691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fastfoods,,,,,,,,,,,,,,,,0.7768627112866218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physical_activity_hour,,,,,,,,,,,,,,,,,1.0494298394678145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physical_activity,,,,,,,,,,,,,,,,,,1.966712638125962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV_watching_routinday,,,,,,,,,,,,,,,,,,,1.406539678394804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV_watching_friday,,,,,,,,,,,,,,,,,,,,1.468863135590199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer_work_routinday,,,,,,,,,,,,,,,,,,,,,1.1234362302467558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer_work_friday,,,,,,,,,,,,,,,,,,,,,,1.3837019491908613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep_hours_routinday,,,,,,,,,,,,,,,,,,,,,,,1.7704147355310502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sleep_hours_friday,,,,,,,,,,,,,,,,,,,,,,,,1.911838990260595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
injury_number,,,,,,,,,,,,,,,,,,,,,,,,,0.6325022153536113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fight_number,,,,,,,,,,,,,,,,,,,,,,,,,,1.2805304353540208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victim_number,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6859243447367935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bully_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0513917638373254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
others_smoker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5019167735871044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confusion_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7835325259223542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worthless_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9671040843709546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insomnia_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1996839710867993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
back_pain_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1154618203969306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headache_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2022057826856127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
worried_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4661314361650277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stomach_ache_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1836104552710753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angriness_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5534204852334546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anxiety_number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9104338937418959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mental_health_overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1415253146147655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_leisure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667733317416198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_escaping_problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6663503771853304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_pleasure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675054889532221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_feeling_grown_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6868624495229159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_anxiety_reduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6871938260997684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_social_acceptance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6744769299016831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_confidence_boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6455309973239552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6272889648591253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_staying_awake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5996324098997232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_feeling_loved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558335675146664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family_size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6746832168248544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
car_ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6567119934093892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer_ownership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693028124706052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birth_weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9089585120722316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breast_feeding_duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.343910617483989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6845537042717299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatty_dairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0787527950111777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usual_dairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7893835608370694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8461151309539843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9432986626376016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liverandkalepache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6248094398072336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9134393441380935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friedfoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9260543468113205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fruit_nut_substitute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6183859090253184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce_fast_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6219421290310235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
increase_vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653635543184554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce_salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6884291219488325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce_sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690394337124284,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce_fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.690394337124284,,,,,,,,,,,,,,,,,,,,,,,,,,
use_liquid_oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6931440834930374,,,,,,,,,,,,,,,,,,,,,,,,,
fresh_fruit_nondaily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6448991203091726,,,,,,,,,,,,,,,,,,,,,,,,
litigant_friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5912908880379814,,,,,,,,,,,,,,,,,,,,,,,
comfort_friend_rahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6101456194915968,,,,,,,,,,,,,,,,,,,,,,
comfort_father_rahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689852124405534,,,,,,,,,,,,,,,,,,,,,
comfort_sister_nadaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6925909686684479,,,,,,,,,,,,,,,,,,,,
comfort_sister_rahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6436222201281392,,,,,,,,,,,,,,,,,,,
comfort_brother_nadaram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6916746090375596,,,,,,,,,,,,,,,,,,
comfort_brother_rahati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6126669387618466,,,,,,,,,,,,,,,,,
father_edu_diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5451800985057242,,,,,,,,,,,,,,,,
father_edu_elementry education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5451800985057242,,,,,,,,,,,,,,,
father_edu_intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5643765388028998,,,,,,,,,,,,,,
mother_edu_diploma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5718350872212385,,,,,,,,,,,,,
mother_edu_elementry education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.570258290638575,,,,,,,,,,,,
father_job_self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6327703460638179,,,,,,,,,,,
complementary_feeding_homemade food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5643765388028998,,,,,,,,,,
bread_type_whole grain bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6614678130973297,,,,,,,,,
oil_type_liquid oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661975029295339,,,,,,,,
oil_type_solid oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6654074906423597,,,,,,,
dairy_type_non-pasteurized regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6612126192657957,,,,,,
dairy_type_pasteurized regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.634541122883282,,,,,
depression_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6369732055572074,,,,
"diet_plan_no, but it should be reduced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5294289128240354,,0.5294289128240354,
diet_plan_weight is fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6785008770139088,,0.6785008770139088
"diet_plan_no, but it should be reduced.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5294289128240354,,0.5294289128240354,
diet_plan_weight is fine.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6785008770139088,,0.6785008770139088
